Date,Price,Open,High,Low,Vol.,Change %
"Apr 25, 2021",32.889,30.2007,32.889,30.2007,2.48M,9.01%
"Apr 24, 2021",30.1715,32.9186,32.9186,30.1293,3.10M,-8.40%
"Apr 23, 2021",32.9372,33.728,33.728,31.4418,9.04M,-3.00%
"Apr 22, 2021",33.9543,33.7294,38.2183,33.7294,11.20M,1.62%
"Apr 21, 2021",33.4146,32.0011,35.3117,31.6882,6.86M,4.45%
"Apr 20, 2021",31.9898,31.4738,31.9898,29.4971,3.66M,1.81%
"Apr 19, 2021",31.4223,31.6225,32.5459,29.7389,3.94M,-0.90%
"Apr 18, 2021",31.7062,34.7959,34.7959,28.2315,6.69M,-8.92%
"Apr 17, 2021",34.8123,36.1468,37.3382,34.8123,2.73M,-3.62%
"Apr 16, 2021",36.1211,37.5735,37.5735,35.7914,4.00M,-4.30%
"Apr 15, 2021",37.7447,36.1831,39.06,36.0553,5.46M,4.52%
"Apr 14, 2021",36.1112,35.4914,36.4329,34.1658,4.60M,1.95%
"Apr 13, 2021",35.4216,36.8928,36.8928,34.5256,5.46M,-3.46%
"Apr 12, 2021",36.6907,29.9661,36.7115,29.9551,10.50M,22.71%
"Apr 11, 2021",29.9003,29.8332,30.2872,29.2697,2.33M,0.45%
"Apr 10, 2021",29.7649,29.5358,30.61,29.3868,1.86M,0.86%
"Apr 09, 2021",29.5108,30.1954,30.4516,29.5108,1.47M,-2.29%
"Apr 08, 2021",30.2033,28.6238,30.2033,28.6238,1.69M,5.97%
"Apr 07, 2021",28.5023,31.2931,31.2931,27.9881,2.80M,-8.74%
"Apr 06, 2021",31.2328,30.8302,32.0469,30.6665,2.54M,1.45%
"Apr 05, 2021",30.785,31.002,31.1049,29.8989,1.98M,-0.37%
"Apr 04, 2021",30.9002,29.16,31.0451,29.16,1.73M,5.26%
"Apr 03, 2021",29.355,30.2761,31.8505,29.355,4.27M,-2.87%
"Apr 02, 2021",30.2211,28.7038,30.2211,28.7038,2.25M,5.36%
"Apr 01, 2021",28.6848,28.1491,29.7664,28.1491,3.25M,2.31%
"Mar 31, 2021",28.038,28.5643,28.8611,27.3801,2.71M,-1.83%
"Mar 30, 2021",28.5605,29.0346,29.0479,28.4926,2.56M,-1.58%
"Mar 29, 2021",29.0185,27.895,29.4153,27.8712,2.81M,4.22%
"Mar 28, 2021",27.843,28.2637,28.6677,27.4983,2.03M,-1.12%
"Mar 27, 2021",28.1578,28.9051,29.1515,27.9134,2.40M,-2.83%
"Mar 26, 2021",28.9782,26.486,28.9782,26.486,3.20M,9.30%
"Mar 25, 2021",26.5118,27.171,27.4922,26.2819,4.92M,-3.27%
"Mar 24, 2021",27.4078,30.9577,31.5952,27.3607,6.87M,-11.59%
"Mar 23, 2021",31.0002,32.9311,34.442,30.8503,8.40M,-5.55%
"Mar 22, 2021",32.8211,32.9918,35.1837,31.9499,5.36M,-0.29%
"Mar 21, 2021",32.9156,32.0137,33.1012,31.748,1.81M,2.75%
"Mar 20, 2021",32.0342,33.2947,34.5065,32.0342,4.04M,-3.66%
"Mar 19, 2021",33.2514,30.0285,33.368,30.0285,3.48M,10.96%
"Mar 18, 2021",29.967,31.4454,31.4454,29.967,1.72M,-4.34%
"Mar 17, 2021",31.3276,30.0248,31.3276,29.6154,3.53M,4.43%
"Mar 16, 2021",30,29.7569,30,28.7562,2.46M,0.95%
"Mar 15, 2021",29.7184,30.6614,31.168,29.7184,2.78M,-3.32%
"Mar 14, 2021",30.7396,32.4683,33.2625,30.7396,2.62M,-5.52%
"Mar 13, 2021",32.5366,30.8851,33.2263,30.8851,3.41M,5.30%
"Mar 12, 2021",30.8985,31.0466,31.3126,29.8445,2.82M,-0.30%
"Mar 11, 2021",30.9915,30.9331,31.5216,29.6967,3.16M,0.36%
"Mar 10, 2021",30.8809,32.8972,32.8972,30.8809,3.83M,-5.95%
"Mar 09, 2021",32.8339,33.2665,33.9213,32.6,4.60M,-1.00%
"Mar 08, 2021",33.165,34.3423,34.6101,32.9292,6.60M,-3.35%
"Mar 07, 2021",34.3148,28.5523,34.3148,28.5523,8.64M,20.32%
"Mar 06, 2021",28.5201,28.3069,28.6393,27.6229,3.51M,0.67%
"Mar 05, 2021",28.3315,28.3694,28.3694,26.3486,7.11M,0.22%
"Mar 04, 2021",28.2687,25.2889,29.3,24.9212,10.29M,11.42%
"Mar 03, 2021",25.3704,25.531,27.36,25.3704,4.52M,-0.65%
"Mar 02, 2021",25.5358,25.7872,27.0345,24.7656,6.70M,-0.71%
"Mar 01, 2021",25.7178,22.2612,25.7178,22.2612,4.53M,15.86%
"Feb 28, 2021",22.1974,23.4518,23.6202,21,5.42M,-5.60%
"Feb 27, 2021",23.5148,23.0987,24.2843,23.0987,4.44M,1.63%
"Feb 26, 2021",23.137,23.4772,24.2669,21.1734,5.92M,-0.49%
"Feb 25, 2021",23.251,25.2398,25.95,23.251,5.76M,-7.81%
"Feb 24, 2021",25.2214,24.8776,27.0726,24.5782,7.43M,1.52%
"Feb 23, 2021",24.8447,27.7145,27.7145,21.1463,16.47M,-10.50%
"Feb 22, 2021",27.7601,28.8387,28.8387,25.1654,12.14M,-3.50%
"Feb 21, 2021",28.7683,28.8246,30.5584,28.4617,12.44M,0.22%
"Feb 20, 2021",28.7059,20.1277,31.1463,19.8685,23.80M,43.05%
"Feb 19, 2021",20.0674,21.2246,21.2246,20.0512,6.55M,-5.19%
"Feb 18, 2021",21.167,21.5692,21.8402,20.8567,4.09M,-1.59%
"Feb 17, 2021",21.508,20.4537,21.508,19.608,3.67M,4.92%
"Feb 16, 2021",20.4998,20.1054,20.958,19.8094,3.69M,2.08%
"Feb 15, 2021",20.0821,20.9534,21.175,17.5708,5.68M,-3.54%
"Feb 14, 2021",20.8182,21.8646,22.3442,20.8182,2.70M,-4.40%
"Feb 13, 2021",21.7764,22.6952,23.4713,21.4903,4.36M,-3.82%
"Feb 12, 2021",22.6423,21.47,23.3961,21.47,5.82M,5.56%
"Feb 11, 2021",21.4502,20.695,21.4502,20.2882,3.94M,3.60%
"Feb 10, 2021",20.7041,19.55,22.1564,19.55,7.97M,6.09%
"Feb 09, 2021",19.5158,19.374,19.5158,19.0879,4.42M,1.04%
"Feb 08, 2021",19.3143,18.6722,19.8371,18.4164,5.90M,3.40%
"Feb 07, 2021",18.6786,19.2033,19.4031,17.7559,6.02M,-2.78%
"Feb 06, 2021",19.2133,21.2653,21.2653,19.2133,5.45M,-9.18%
"Feb 05, 2021",21.1554,20.1484,21.2994,20.1484,6.87M,5.00%
"Feb 04, 2021",20.1487,19.7764,21.281,19.7764,8.88M,2.20%
"Feb 03, 2021",19.7156,19.0102,20.2437,19.0102,7.89M,3.60%
"Feb 02, 2021",19.0312,20.4751,20.4751,18.3765,8.88M,-7.16%
"Feb 01, 2021",20.5,17.6623,20.5,17.391,12.21M,15.79%
"Jan 31, 2021",17.7039,19.566,19.566,17.7039,15.72M,-9.64%
"Jan 30, 2021",19.5918,15.6376,19.5918,15.2452,13.27M,24.12%
"Jan 29, 2021",15.7845,14.1139,15.7845,14.1086,13.32M,11.94%
"Jan 28, 2021",14.1003,14.7063,15.0475,13.7633,14.39M,-4.60%
"Jan 27, 2021",14.7801,13.9118,15.2675,13.5521,20.24M,6.33%
"Jan 26, 2021",13.9,11.286,13.9,11.286,19.00M,23.05%
"Jan 25, 2021",11.2958,12.0154,12.5455,11.2109,13.13M,-5.72%
"Jan 24, 2021",11.9807,9.3357,11.9807,9.3357,12.72M,28.26%
"Jan 23, 2021",9.3413,8.6775,9.444,8.6775,5.35M,7.20%
"Jan 22, 2021",8.7141,7.5829,8.8765,7.4516,8.36M,14.62%
"Jan 21, 2021",7.6027,9,9,7.45,8.72M,-15.36%
"Jan 20, 2021",8.982,8.5755,8.982,7.93,9.67M,4.22%
"Jan 19, 2021",8.6185,9.18,9.3098,8.6185,8.64M,-6.24%
"Jan 18, 2021",9.1918,8.69,9.4627,8.5449,10.12M,5.79%
"Jan 17, 2021",8.689,8.401,8.8451,8.249,12.23M,3.48%
"Jan 16, 2021",8.3968,7.3762,8.6555,7.3558,16.66M,13.78%
"Jan 15, 2021",7.3796,6.968,7.3796,6.8129,16.79M,6.14%
"Jan 14, 2021",6.9526,6.3423,6.9526,6.3014,10.43M,9.29%
"Jan 13, 2021",6.3616,5.5785,6.3616,5.4712,6.79M,13.96%
"Jan 12, 2021",5.5824,5.2425,5.6677,5.0939,8.25M,6.64%
"Jan 11, 2021",5.2346,5.984,5.984,4.5443,14.90M,-12.43%
"Jan 10, 2021",5.9777,6.2405,6.5336,5.66,7.47M,-3.90%
"Jan 09, 2021",6.22,5.88,6.2795,5.7366,5.96M,5.81%
"Jan 08, 2021",5.8785,6.2717,6.2717,5.7287,8.26M,-6.01%
"Jan 07, 2021",6.2545,6.4291,6.5621,6.1742,7.83M,-2.51%
"Jan 06, 2021",6.4157,6.2815,6.4157,6.0635,8.26M,2.63%
"Jan 05, 2021",6.2514,5.4576,6.5372,5.2889,13.11M,15.46%
"Jan 04, 2021",5.4145,5.5415,6.168,5.1734,17.85M,-0.61%
"Jan 03, 2021",5.4475,4.8594,5.4475,4.7537,15.87M,12.17%
"Jan 02, 2021",4.8564,4.7404,4.8564,4.599,15.42M,2.56%
"Jan 01, 2021",4.7353,5.15,5.1566,4.7339,12.82M,-8.16%
"Dec 31, 2020",5.1563,4.1569,5.1563,4.0127,22.06M,24.24%
"Dec 30, 2020",4.1503,3.6887,4.1715,3.6562,12.47M,13.10%
"Dec 29, 2020",3.6695,3.7276,3.7276,3.5435,5.31M,-1.70%
"Dec 28, 2020",3.733,3.6001,3.8584,3.6001,7.19M,3.81%
"Dec 27, 2020",3.5959,3.4156,3.6803,3.4156,9.41M,5.20%
"Dec 26, 2020",3.4183,3.5038,3.5342,3.4183,5.81M,-2.40%
"Dec 25, 2020",3.5023,3.524,3.5836,3.4385,5.35M,-0.58%
"Dec 24, 2020",3.5227,3.3051,3.5227,3.1675,6.36M,5.92%
"Dec 23, 2020",3.3257,3.7301,3.7322,3.3257,9.03M,-10.95%
"Dec 22, 2020",3.7346,3.519,3.7346,3.3942,9.91M,6.42%
"Dec 21, 2020",3.5094,3.7577,3.8132,3.4676,8.73M,-6.74%
"Dec 20, 2020",3.763,3.9594,3.9659,3.7614,7.89M,-5.03%
"Dec 19, 2020",3.9622,3.7715,4.1911,3.7586,16.33M,5.25%
"Dec 18, 2020",3.7646,3.6955,3.7975,3.6621,7.21M,1.88%
"Dec 17, 2020",3.6951,3.5359,3.9726,3.4738,14.18M,4.45%
"Dec 16, 2020",3.5377,3.3256,3.5377,3.2935,6.14M,6.29%
"Dec 15, 2020",3.3285,3.4861,3.4861,3.3285,5.01M,-4.30%
"Dec 14, 2020",3.478,3.344,3.478,3.2565,4.31M,4.01%
"Dec 13, 2020",3.344,3.1217,3.344,3.1123,3.30M,7.09%
"Dec 12, 2020",3.1225,2.9684,3.15,2.9684,3.89M,5.58%
"Dec 11, 2020",2.9575,3.2442,3.2442,2.9544,5.10M,-8.62%
"Dec 10, 2020",3.2365,3.3591,3.3591,3.2356,3.06M,-3.59%
"Dec 09, 2020",3.357,3.2902,3.3685,3.201,6.53M,1.79%
"Dec 08, 2020",3.2979,3.761,3.761,3.2979,7.19M,-12.23%
"Dec 07, 2020",3.7576,3.6542,3.8043,3.5799,5.87M,3.00%
"Dec 06, 2020",3.648,3.6829,3.7189,3.5294,3.55M,-1.03%
"Dec 05, 2020",3.6861,3.5169,3.6861,3.4967,3.90M,4.81%
"Dec 04, 2020",3.517,3.8756,3.8756,3.517,4.75M,-9.42%
"Dec 03, 2020",3.8829,3.9426,3.9848,3.8388,6.93M,-1.54%
"Dec 02, 2020",3.9435,3.5455,4.0561,3.5455,12.01M,11.11%
"Dec 01, 2020",3.5491,3.7765,3.925,3.5491,9.91M,-6.09%
"Nov 30, 2020",3.7794,3.5635,3.7794,3.5589,8.22M,6.44%
"Nov 29, 2020",3.5508,3.461,3.5508,3.3952,4.76M,2.58%
"Nov 28, 2020",3.4616,3.3101,3.4913,3.2922,5.74M,4.55%
"Nov 27, 2020",3.3108,3.444,3.477,3.2537,8.37M,-3.43%
"Nov 26, 2020",3.4284,3.6639,3.703,3.2067,17.18M,-6.62%
"Nov 25, 2020",3.6716,4.063,4.063,3.6716,11.37M,-9.77%
"Nov 24, 2020",4.0693,4.1946,4.3533,4.0029,18.39M,-2.69%
"Nov 23, 2020",4.1816,3.7036,4.2177,3.6382,15.96M,13.54%
"Nov 22, 2020",3.683,3.8524,3.8524,3.6198,11.20M,-4.04%
"Nov 21, 2020",3.8382,3.857,3.9228,3.6573,15.60M,-0.57%
"Nov 20, 2020",3.8603,3.7417,3.998,3.7125,17.02M,3.62%
"Nov 19, 2020",3.7255,3.4625,3.825,3.2791,18.70M,7.68%
"Nov 18, 2020",3.4599,3.8149,3.8149,3.3328,15.44M,-9.15%
"Nov 17, 2020",3.8082,3.5659,3.8082,3.5659,18.16M,6.82%
"Nov 16, 2020",3.565,3.8254,3.8533,3.5061,24.09M,-7.24%
"Nov 15, 2020",3.8431,3.8127,4.1955,3.65,23.58M,0.86%
"Nov 14, 2020",3.8104,3.8461,3.8572,3.6101,22.33M,-1.14%
"Nov 13, 2020",3.8543,2.9598,3.8543,2.954,24.14M,30.22%
"Nov 12, 2020",2.9598,2.9332,3.078,2.8921,9.93M,0.88%
"Nov 11, 2020",2.9341,3.0851,3.1348,2.9341,12.86M,-4.59%
"Nov 10, 2020",3.0751,2.6779,3.0751,2.6401,16.79M,14.74%
"Nov 09, 2020",2.68,2.8603,2.8603,2.6235,11.03M,-6.70%
"Nov 08, 2020",2.8724,2.4725,2.8724,2.4725,13.01M,16.06%
"Nov 07, 2020",2.475,2.5742,2.9334,2.475,38.13M,-3.66%
"Nov 06, 2020",2.569,2.1881,2.569,2.1881,29.79M,17.23%
