Date,Price,Open,High,Low,Volume,Change,coin_name_abbrv,coin_name,Volume_in_Million
2021-04-25,49561.9,50088.2,50438.8,49226.5,66.26K,-1.05%,Bit,Bitcoin,0.06626
2021-04-24,50088.9,51140.8,51183.0,48775.2,82.25K,-2.06%,Bit,Bitcoin,0.08225
2021-04-23,51143.6,51707.1,52099.9,47659.4,214.46K,-1.13%,Bit,Bitcoin,0.21446
2021-04-22,51729.5,53821.3,55408.4,50590.9,168.13K,-3.88%,Bit,Bitcoin,0.16813
2021-04-21,53820.2,56479.5,56764.4,53657.6,100.26K,-4.71%,Bit,Bitcoin,0.10026
2021-04-20,56483.2,55645.1,57054.9,53422.5,115.49K,1.50%,Bit,Bitcoin,0.11549
2021-04-19,55646.1,56208.1,57517.0,54272.3,117.51K,-1.00%,Bit,Bitcoin,0.11751
2021-04-18,56207.1,60043.2,60362.1,51817.6,216.81K,-6.39%,Bit,Bitcoin,0.21681
2021-04-17,60041.9,61358.3,62509.1,59672.1,84.08K,-2.18%,Bit,Bitcoin,0.08408
2021-04-16,61379.7,63211.6,63518.5,60027.3,136.85K,-2.90%,Bit,Bitcoin,0.13685
2021-04-15,63216.0,62978.6,63729.1,62067.5,76.97K,0.37%,Bit,Bitcoin,0.07697
2021-04-14,62980.4,63544.2,64778.0,61366.3,130.43K,-0.88%,Bit,Bitcoin,0.13043000000000002
2021-04-13,63540.9,59863.6,63659.0,59839.4,126.56K,6.14%,Bit,Bitcoin,0.12656
2021-04-12,59863.8,59982.1,61259.9,59569.2,81.88K,-0.19%,Bit,Bitcoin,0.08188
2021-04-11,59978.7,59772.4,60667.1,59250.3,58.20K,0.39%,Bit,Bitcoin,0.0582
2021-04-10,59748.4,58127.4,61229.0,57900.0,103.72K,2.80%,Bit,Bitcoin,0.10371999999999999
2021-04-09,58118.7,58076.8,58890.9,57686.0,59.22K,0.07%,Bit,Bitcoin,0.05922
2021-04-08,58077.4,55948.0,58136.7,55721.6,64.78K,3.80%,Bit,Bitcoin,0.06478
2021-04-07,55948.7,57996.3,58627.7,55489.3,110.69K,-3.53%,Bit,Bitcoin,0.11069
2021-04-06,57996.3,59169.0,59487.0,57403.3,77.15K,-1.69%,Bit,Bitcoin,0.07715000000000001
2021-04-05,58993.4,58202.3,59205.1,56842.7,54.13K,1.36%,Bit,Bitcoin,0.054130000000000005
2021-04-04,58199.9,57059.7,58464.8,56470.6,57.21K,2.00%,Bit,Bitcoin,0.057210000000000004
2021-04-03,57059.9,58976.8,59770.5,56906.7,68.74K,-3.25%,Bit,Bitcoin,0.06874
2021-04-02,58977.3,58718.2,60134.9,58466.5,72.37K,0.44%,Bit,Bitcoin,0.07237
2021-04-01,58718.3,58763.2,59406.5,58040.7,69.04K,-0.08%,Bit,Bitcoin,0.06904
2021-03-31,58763.7,58771.4,59795.6,56991.6,98.06K,-0.01%,Bit,Bitcoin,0.09806000000000001
2021-03-30,58771.3,57614.6,59366.9,57077.1,86.21K,2.00%,Bit,Bitcoin,0.08621
2021-03-29,57616.2,55764.7,58392.6,54951.1,107.91K,3.32%,Bit,Bitcoin,0.10790999999999999
2021-03-28,55765.2,55856.9,56504.2,54711.3,58.71K,-0.17%,Bit,Bitcoin,0.05871
2021-03-27,55862.9,55033.8,56531.1,54010.2,73.87K,1.50%,Bit,Bitcoin,0.07387
2021-03-26,55036.1,51317.4,55074.1,51302.0,100.30K,7.24%,Bit,Bitcoin,0.1003
2021-03-25,51322.3,52330.0,53175.4,50441.3,143.35K,-1.92%,Bit,Bitcoin,0.14335
2021-03-24,52325.4,54309.1,57169.4,51725.4,137.91K,-3.91%,Bit,Bitcoin,0.13791
2021-03-23,54452.5,54117.5,55813.8,52992.3,84.84K,0.54%,Bit,Bitcoin,0.08484
2021-03-22,54158.3,57379.3,58379.9,53784.2,95.53K,-5.62%,Bit,Bitcoin,0.09553
2021-03-21,57383.8,58097.4,58583.8,55583.3,77.47K,-1.22%,Bit,Bitcoin,0.07747
2021-03-20,58093.4,58084.1,59882.1,57863.0,67.83K,0.01%,Bit,Bitcoin,0.06783
2021-03-19,58088.0,57645.0,59448.3,56305.1,83.98K,0.75%,Bit,Bitcoin,0.08398
2021-03-18,57656.0,58911.8,60088.0,57099.6,102.62K,-2.13%,Bit,Bitcoin,0.10262
